bands,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,label,effective_width [Hz]
swope2::v1,5.54200e+14,5412.96000,black,3.45700e-06,swope2::v1,CSP/V3009,3.29508e+15
swope2::v2,5.57500e+14,5380.76000,black,3.35000e-06,swope2::v2,CSP/V9844,3.46341e+15
swope2::r,4.81700e+14,6227.46000,black,3.20100e-06,swope2::r,CSP/r,2.43989e+15
swope2::i,3.93700e+14,7620.51000,black,2.37400e-06,swope2::i,CSP/i,2.49280e+15
swope2::y,2.89000e+14,10380.39000,black,1.26900e-06,swope2::y,CSP/Y,2.33714e+15
swope2::j,2.41200e+14,12437.23000,black,1.22700e-06,swope2::j,CSP/J,1.67897e+15
swope2::h,1.84600e+14,16255.91000,black,1.01500e-06,swope2::h,CSP/H,1.13946e+15
acswf::f606w,5.06600e+14,5921.88000,black,5.63000e-06,acswf::f606w,ACS/F606W,1.50155e+15
acswf::f775w,3.89900e+14,7693.47000,black,2.55900e-06,acswf::f775w,ACS/F775W,2.26987e+15
acswf::f850lp,3.32200e+14,9031.48000,black,1.77500e-06,acswf::f850lp,ACS/F850LP,2.36743e+15
nicf110w,2.67000e+14,11234.92000,black,3.21300e-06,nicf110w,NICMOS2/F110W,7.31297e+14
nicmos2::f110w,2.67000e+14,11234.92000,black,3.21300e-06,nicmos2::f110w,NICMOS2/F110W,7.31297e+14
nicf160w,1.87100e+14,16030.37000,black,1.32500e-06,nicf160w,NICMOS2/F160W,9.12873e+14
nicmos2::f160w,1.87100e+14,16030.37000,black,1.32500e-06,nicmos2::f160w,NICMOS2/F160W,9.12873e+14
uvf475w,6.28500e+14,4773.10000,black,6.16100e-06,uvf475w,WFC3/F475W,2.23117e+15
uvf555w,5.65100e+14,5308.42000,black,6.29500e-06,uvf555w,WFC3/F555W,1.91980e+15
uvf606w,5.09400e+14,5889.16000,black,6.60000e-06,uvf606w,WFC3/F606W,1.37369e+15
uvf625w,4.80600e+14,6242.56000,black,4.07500e-06,uvf625w,WFC3/F625W,2.04986e+15
uvf775w,3.92100e+14,7651.37000,black,2.35800e-06,uvf775w,WFC3/F775W,2.56130e+15
uvf814w,3.73200e+14,8039.03000,black,3.01900e-06,uvf814w,WFC3/F814W,1.95219e+15
uvf850lp,3.26900e+14,9176.14000,black,1.59900e-06,uvf850lp,WFC3/F850LP,2.53609e+15
f218w,1.34800e+15,2225.17000,black,7.30400e-06,f218w,WFC3/F218W,9.31532e+15
f225w,1.26500e+15,2371.15000,black,9.04900e-06,f225w,WFC3/F225W,6.42369e+15
f275w,1.10700e+15,2709.29000,black,6.32700e-06,f275w,WFC3/F275W,7.53665e+15
f300x,1.06400e+15,2819.96000,black,1.12300e-05,f300x,WFC3/F300X,4.52391e+15
f336w,8.94300e+14,3354.43000,black,4.99000e-06,f336w,WFC3/F336W,5.86200e+15
F336W,8.94300e+14,3354.43000,black,4.99000e-06,f336w,WFC3/F336W,5.86200e+15
f390w,7.64600e+14,3923.67000,black,5.82300e-06,f390w,WFC3/F390W,3.34610e+15
f438w,6.93400e+14,4326.24000,black,3.44500e-06,f438w,WFC3/F438W,4.85089e+15
f435w,6.92900e+14,4329.85000,black,4.81800e-06,f435w,ACS/F435W,3.46697e+15
f475w,6.28500e+14,4773.10000,black,6.16100e-06,f475w,WFC3/F475W,2.20089e+15
F475W,6.28500e+14,4773.10000,black,6.16100e-06,f475w,WFC3/F475W,2.20089e+15
f555w,5.65100e+14,5308.42000,black,6.29500e-06,f555w,WFC3/F555W,2.66330e+15
f606w,5.09400e+14,5889.16000,black,6.60000e-06,f606w,WFC3/F606W,1.50155e+15
F606W,5.09400e+14,5889.16000,black,6.60000e-06,f606w,WFC3/F606W,1.50155e+15
f350lp,5.10700e+14,5873.90000,black,1.70400e-05,f350lp,WFC3/F350LP,6.30039e+14
F625W,4.80600e+14,6242.56000,black,4.07500e-06,f625w,WFC3/F625W,2.29029e+15
f625w,4.80600e+14,6242.56000,black,4.07500e-06,f625w,WFC3/F625W,2.29029e+15
f062,4.76900e+14,6290.80000,black,6.01300e-06,f062,Roman/F062,1.24183e+15
f689m,4.36200e+14,6876.76000,black,1.59600e-06,f689m,WFC3/F689M,4.39142e+15
f070w,4.26200e+14,7039.12000,black,2.68600e-06,f070w,NIRCAM/F070W,1.87066e+15
f763m,3.94000e+14,7614.39000,black,1.39200e-06,f763m,WFC3/F763M,4.25633e+15
f775w,3.92100e+14,7651.37000,black,2.35800e-06,f775w,WFC3/F775W,2.26987e+15
F775W,3.92100e+14,7651.37000,black,2.35800e-06,f775w,WFC3/F775W,2.26987e+15
F814W,3.73200e+14,8039.03000,black,3.01900e-06,f814w,WFC3/F814W,3.73200e+14
f845m,3.55500e+14,8439.08000,black,1.26600e-06,f845m,WFC3/F845M,3.80928e+15
f087,3.45000e+14,8695.98000,black,2.75800e-06,f087,Roman/F087,1.46831e+15
f090w,3.32500e+14,9021.53000,black,2.39600e-06,f090w,NIRCAM/F090W,1.51075e+15
f850lp,3.26900e+14,9176.14000,black,1.59900e-06,f850lp,WFC3/F850LP,2.36743e+15
F850W,3.26900e+14,9176.14000,black,1.59900e-06,f850lp,WFC3/F850LP,2.36743e+15
f098m,3.04200e+14,9862.72000,black,1.67200e-06,f098m,WFC3/F098M,1.91096e+15
f105w,2.84400e+14,10550.25000,black,2.35100e-06,f105w,WFC3/F105W,1.13187e+15
f106,2.83900e+14,10566.52000,black,2.41400e-06,f106,Roman/F106,1.13790e+15
f115w,2.59900e+14,11542.61000,black,1.69400e-06,f115w,NIRCAM/F115W,1.23535e+15
f110w,2.60100e+14,11534.46000,black,3.24900e-06,f110w,WFC3/F110W,6.76802e+14
F110W,2.60100e+14,11534.46000,black,3.24900e-06,f110w,WFC3/F110W,6.76802e+14
f125w,2.40300e+14,12486.07000,black,1.89000e-06,f125w,WFC3/F125W,1.05367e+15
f127m,2.35500e+14,12741.07000,black,4.52200e-07,f127m,WFC3/F127M,4.37082e+15
f129,2.32500e+14,12901.34000,black,1.94900e-06,f129,Roman/F129,9.40267e+14
f139m,2.16700e+14,13841.81000,black,3.58800e-07,f139m,WFC3/F139M,4.67429e+15
f140w,2.15500e+14,13923.21000,black,2.03900e-06,f140w,WFC3/F140W,7.80788e+14
f140m,2.13500e+14,14053.23000,black,7.56000e-07,f140m,NIRCAM/F140M,2.04162e+15
f146,2.08600e+14,14377.83000,black,4.49600e-06,f146,Roman/F146,2.90771e+14
f150w,1.99900e+14,15007.44000,black,1.41100e-06,f150w,NIRCAM/F150W,9.05936e+14
f153m,1.95700e+14,15332.75000,black,3.20900e-07,f153m,WFC3/F153M,4.39292e+15
f160w,1.95200e+14,15370.34000,black,1.27800e-06,f160w,WFC3/F160W,1.11783e+15
F160W,1.95200e+14,15370.34000,black,1.27800e-06,f160w,WFC3/F160W,1.11783e+15
f158,1.90500e+14,15748.67000,black,1.57800e-06,f158,Roman/F158,7.77423e+14
f162m,1.84400e+14,16272.47000,black,6.70700e-07,f162m,NIRCAM/F162M,1.75205e+15
f182m,1.62600e+14,18451.67000,black,7.22800e-07,f182m,NIRCAM/F182M,1.24708e+15
f184,1.63100e+14,18394.10000,black,9.79700e-07,f184,Roman/F184,9.49147e+14
f200w,1.50900e+14,19886.48000,black,1.16700e-06,f200w,NIRCAM/F200W,6.44166e+14
f210m,1.43200e+14,20954.51000,black,5.11100e-07,f210m,NIRCAM/F210M,1.44377e+15
f213,1.41300e+14,21229.96000,black,8.11900e-07,f213,Roman/F213,8.65133e+14
f250m,1.19800e+14,25032.33000,black,3.10300e-07,f250m,NIRCAM/F250M,1.68979e+15
f277w,1.08600e+14,27617.40000,black,9.58400e-07,f277w,NIRCAM/F277W,4.21326e+14
f300m,1.00400e+14,29891.21000,black,3.98100e-07,f300m,NIRCAM/F300M,9.36101e+14
f335m,8.92300e+13,33620.67000,black,3.27500e-07,f335m,NIRCAM/F335M,8.05777e+14
f356w,8.40700e+13,35683.62000,black,6.25700e-07,f356w,NIRCAM/F356W,3.67417e+14
f360m,8.27800e+13,36241.76000,black,2.98000e-07,f360m,NIRCAM/F360M,8.06150e+14
f410m,7.34900e+13,40822.38000,black,2.79400e-07,f410m,NIRCAM/F410M,6.75759e+14
f430m,7.00700e+13,42812.58000,black,1.36500e-07,f430m,NIRCAM/F430M,1.31200e+15
f444w,6.81200e+13,44043.15000,black,6.08500e-07,f444w,NIRCAM/F444W,2.67845e+14
f460m,6.48000e+13,46299.28000,black,1.17400e-07,f460m,NIRCAM/F460M,1.31356e+15
f480m,6.22600e+13,48181.95000,black,1.47600e-07,f480m,NIRCAM/F480M,1.03974e+15
f560w,5.32400e+13,56352.56000,black,3.26800e-07,f560w,MIRI/F560W,2.99908e+14
f770w,3.92700e+13,76393.34000,black,3.46100e-07,f770w,MIRI/F770W,1.51880e+14
f1000w,3.01400e+13,99531.16000,black,1.88700e-07,f1000w,MIRI/F1000W,1.67067e+14
f1065c,2.84000e+13,105628.39000,black,5.51700e-08,f1065c,MIRI/F1065C,5.65646e+14
f1280w,2.34200e+13,128101.38000,black,1.63000e-07,f1280w,MIRI/F1280W,4.08454e+14
f1140c,2.65200e+13,113103.03000,black,5.14400e-08,f1140c,MIRI/F1140C,5.25952e+14
f1130w,2.65300e+13,113085.01000,black,6.16400e-08,f1130w,MIRI/F1130W,1.21372e+14
f1500w,1.99200e+13,150635.06000,black,1.42600e-07,f1500w,MIRI/F1500W,1.02556e+14
f1550c,1.93300e+13,155167.74000,black,3.18600e-08,f1550c,MIRI/F1550C,3.84349e+14
f1800w,1.66800e+13,179837.22000,black,9.88200e-08,f1800w,MIRI/F1800W,1.01705e+14
f2100w,1.44300e+13,207950.05000,black,1.12200e-07,f2100w,MIRI/F2100W,6.55279e+13
f2300c,1.32500e+13,226446.44000,black,9.22500e-08,f2300c,MIRI/F2300C,6.51723e+13
f2550w,1.18300e+13,253640.02000,black,6.60100e-08,f2550w,MIRI/F2550W,8.18692e+13
G,4.79900e+14,6251.50000,black,1.32100e-05,gaia::G,Gaia/G,6.78891e+14
gaia::g,4.79900e+14,6251.50000,black,1.32100e-05,gaia::g,Gaia/G,6.78891e+14
y',3.11600e+14,9627.79000,black,7.51700e-07,ps1::y,PS1/y,4.87513e+15
y,3.11600e+14,9627.79000,black,7.51700e-07,ps1::y,PS1/y,4.87513e+15
Y,3.11600e+14,9627.79000,black,7.51700e-07,ps1::y,PS1/y,4.87513e+15
spitzer::I1,8.48000e+13,35378.41000,black,6.00600e-07,spitzer::I1,IRAC/I1,8.48000e+13
spitzer::I2,6.69900e+13,44780.49000,black,4.74300e-07,spitzer::I2,IRAC/I2,6.69900e+13
spitzer::I3,5.26700e+13,56961.78000,black,4.26900e-07,spitzer::I3,IRAC/I3,5.26700e+13
spitzer::I4,3.84700e+13,77978.40000,black,4.65300e-07,spitzer::I4,IRAC/I4,3.84700e+13
euclid::VIS,4.22300e+14,7103.37000,black,7.57700e-06,euclid::VIS,EUCLID/VIS,4.22300e+14
desg,6.23900e+14,4808.49000,black,4.78100e-06,desg,DES/g,2.61281e+15
desr,4.67500e+14,6417.65000,black,3.40900e-06,desr,DES/r,2.18060e+15
desi,3.83900e+14,7814.58000,black,2.30000e-06,desi,DES/i,2.17804e+15
desz,3.27200e+14,9168.85000,black,1.67900e-06,desz,DES/z,2.36338e+15
desy,3.03200e+14,9896.11000,black,7.51100e-07,desy,DES/y,4.75159e+15
tess,3.89700e+14,7697.60000,black,7.65800e-06,tess,TESS,7.68971e+14
gaia::gbp,5.87100e+14,5109.71000,black,9.42100e-06,gaia::gbp,GAIA/Gbp,1.14585e+15
gaia::g,4.79900e+14,6217.59000,black,1.27800e-05,gaia::g,GAIA/G,6.78891e+14
gaia::grp,3.86200e+14,7769.02000,black,5.47200e-06,gaia::grp,GAIA/Grp,1.04725e+15
gaia::grvs,3.49700e+14,8578.76000,black,3.48100e-07,gaia::grvs,GAIA/Grvs,1.27480e+16
gotob,6.49000e+14,4622.88000,black,3.77100e-06,gotob,GOTO/B,3.74937e+15
gotog,5.58200e+14,5374.54000,black,3.25500e-06,gotog,GOTO/G,3.33233e+15
gotol,5.43100e+14,5523.78000,black,8.02700e-06,gotol,GOTO/L,1.35984e+15
gotor,4.66800e+14,6426.84000,black,2.51000e-06,gotor,GOTO/R,3.33217e+15
skymapperu,8.58800e+14,3493.36000,black,3.75200e-06,skymapperu,SkyMapper/u,7.04976e+15
skymapperv,7.82100e+14,3835.93000,black,2.36600e-06,skymapperv,SkyMapper/v,7.82100e+14
skymapperg,5.91100e+14,5075.19000,black,6.26300e-06,skymapperg,SkyMapper/g,2.02905e+15
skymapperr,4.88700e+14,6138.44000,black,4.14300e-06,skymapperr,SkyMapper/r,1.96805e+15
skymapperi,3.86200e+14,7767.98000,black,2.26400e-06,skymapperi,SkyMapper/i,2.49494e+15
skymapperz,3.28000e+14,9145.99000,black,1.51500e-06,skymapperz,SkyMapper/z,2.69398e+15
