#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Trig_time_met: The BAT trigger time shown in the Swift machine time (MET), in unit of sec.
## Trig_time_UTC: The BAT trigger time shown in UTC.
## RA_ground: RA of the GRB from the BAT refined position, in unite of deg.
## DEC_ground: DEC of the GRB from the BAT refined position, in unit of deg.
## Image_position_err: The uncertainty of the BAT refined position, in unit of arcmin.
## Image_SNR: The signal-to-noise ratio of the detection from the BAT image.
## T90: Burst duration T90, in unit of sec.
## T90_err: The uncertainty of T90.
## T50: Burst duration T90, in unit of sec.
## T50_err: The uncertainty of T50.
## Evt_start_sincetrig: The time when the event data start, relative to the BAT trigger time, in unit of sec.
## Evt_stop_sincetrig: The time when the event data end, relative to the BAT trigger time, in unit of sec.
## pcode: Partial coding fraction of the burst.
## Trigger_method: The triggering method for the burst (rate trigger, image trigger, ground detected, or ground detected during slew).
## XRT_detection: Whether or not there is an XRT detection of the burst.
## comment: Other special comments.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | Trig_time_met |       Trig_time_UTC        |  RA_ground   |  DEC_ground   | Image_position_err |   Image_SNR  |     T90      |   T90_err    |     T50      |   T50_err    | Evt_start_sincetrig | Evt_stop_sincetrig | pcode  | Trigger_method | XRT_detection | comment
GRB191123A   |    939079    | 596198348.288 | 2019-11-23T10:38:44.318720 | 2.152925e+02 |  2.283385e+01 |    2.157940e+00    | 1.013723e+01 | 2.848120e+02 | 5.223177e+01 | 1.477000e+02 | 1.171601e+02 |         -239        |         963       | 0.8594 | rate trigger | Yes |    
GRB191122A   |    938899    | 596122400.384 | 2019-11-22T13:32:56.419620 | 5.429023e+01 | -3.217611e+01 |    9.763533e-01    | 3.147498e+01 | 1.257360e+02 | 3.104972e+01 | 3.351200e+01 | 4.284305e+00 |         -239        |         963       | 0.2695 | rate trigger | Yes |    
GRB191106A   |    933515    | 594742547.776 | 2019-11-06T14:15:23.900640 | 2.693593e+02 |  4.604733e+01 |    1.638596e+00    | 1.502207e+01 | 3.436000e+00 | 3.248630e-01 | 1.648000e+00 | 7.209882e-01 |         -767        |         962       | 0.9531 | rate trigger | Yes |    
GRB191101A   |    932742    | 594335307.200 | 2019-11-01T21:08:03.350920 | 2.518539e+02 |  4.374194e+01 |    1.561105e+00    | 1.609856e+01 | 1.427080e+02 | 1.824723e+01 | 6.800800e+01 | 2.949918e+01 |         -239        |         963       | 0.4727 | rate trigger | Yes |    
GRB191031D   |    932608    | 594249834.976 | 2019-10-31T21:23:31.132400 | 2.832694e+02 |  4.764469e+01 |    1.347987e+00    | 1.985422e+01 | 2.880000e-01 | 4.681884e-02 | 1.439999e-01 | 2.529827e-02 |         -713        |         1556       | 0.3750 | rate trigger | Yes |    
GRB191031C   |    932595    | 594240258.752 | 2019-10-31T18:43:54.909020 | 1.158736e+02 | -6.232325e+01 |    1.058367e+00    | 2.804942e+01 | 7.850000e+01 | 7.509189e+00 | 1.826400e+01 | 2.561125e+00 |         -240        |         962       | 0.2402 | rate trigger | Yes |    
GRB191031A   |    932435    | 594175017.536 | 2019-10-31T00:36:33.697220 | 2.334963e+02 |  6.105554e+00 |    1.659184e+00    | 1.475650e+01 | 1.213200e+01 | 2.347513e+00 | 5.920000e+00 | 1.820036e+00 |         -240        |         962       | 0.4648 | rate trigger | No |    
GRB191029A   |    932058    | 594040544.000 | 2019-10-29T11:15:20.169860 | 3.522052e+02 | -4.042630e+01 |    3.916632e+00    | 4.326136e+00 | 4.100000e+01 | 8.246211e+00 | 1.400000e+01 | 1.315295e+01 |         -239        |         363       | 0.4609 | image trigger | Yes |    
GRB191024A   |    931242    | 593584996.416 | 2019-10-24T04:42:52.615160 | 1.012888e+01 | -6.713808e+01 |    1.307487e+00    | 2.073859e+01 | 7.084000e+00 | 9.782434e-01 | 3.312000e+00 | 5.393329e-01 |         -239        |         963       | 0.9062 | rate trigger | Yes |    
GRB191019A   |    930285    | 593190777.408 | 2019-10-19T15:12:33.632500 | 3.400347e+02 | -1.733996e+01 |    6.387866e-01    | 5.770077e+01 | 6.434800e+01 | 4.449649e+00 | 3.047600e+01 | 1.030643e+00 |         -239        |         963       | 0.4648 | rate trigger | Yes |    
