GRB	Time [UT]	Trigger Number	BAT T90 [sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
100906A	13:49:27	433509	114.4	1.78, PL	01:54:44.11	55:37:49.4	1.727 (Gemini-North: absorption)
100902A	19:31:54	433160	428.8	1.98, PL	03:14:30.98	30:58:44.2	4.5 (Swift XRT: tentative redshift)
100901A	13:34:10	433065	439	1.52, PL	01:49:03.51	22:45:30.2	1.408 (Gemini-North: absorption, host redshift)
100816A	00:37:51	431764	2.9	0.73, CPL	23:26:57.58	26:34:42.2	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)
100814A	03:50:11	431605	174.5	1.47, PL	01:29:53.59	-17:59:43.8	1.44 (Magellan: absorption)
100728B	10:31:55	430172	12.1	1.55, PL	02:56:13.50	00:16:51.8	~2.8 (UVOT: photometric)|2.106 (VLT: absorption)
100728A	02:18:24	430151	198.5	1.18, PL	05:55:01.99	-15:15:19.6	1.567 (VLT: emission, host)
100724A	00:42:19	429868	1.4	1.92, PL	12:58:10.37	-11:06:09.4	1.288 (VLT: absorption)
100704A	03:35:08	426722	197.5	1.73, PL	08:54:33.96	-24:12:10.1	3.6 (Swift: tentative redshift)
100621A	03:03:32	425151	63.6	1.90, PL	21:01:13.11	-51:06:23.0	0.542 (VLT: emission)
100615A	01:59:03	424733	39	1.87, PL	11:48:49.30	-19:28:52.2	1.398 (VLT: emission, host)
100513A	02:07:08	421814	84	1.62, PL	11:18:26.85	03:37:40.5	4.772 (Gemini North: absorption)
100425A	02:50:45	420398	37.0	2.42, PL	19:56:47.16	-26:25:50.9	1.755 (VLT: absorption)
100424A	16:32:42	420367	104	1.83, PL	13:57:47.48	01:32:18.6	2.465 (VLT: emission, host)
100418A	21:10:08	419797	7.0	2.16, PL	17:05:27.22	11:27:40.0	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)
100413A	17:33:28	419404	191	1.25, PL	17:44:53.14	15:50:03.1	3.9 (Swift-XRT: tentative)
100316D	12:44:50	416135	n/a	2.29, PL	07:10:30.63	-56:15:19.7	0.014
100316B	08:01:36	416103	3.8	2.23, PL	10:53:57.24	-45:28:20.5	1.180 (VLT: absorption)
100302A	19:53:06	414592	17.9	1.72, PL	13:02:03.87	74:35:24.5	4.813 (Gemini-North: absorption)
100219A	15:15:46	412982	18.8	1.34	10:16:48.52	-12:33:59.6	4.5 (MPI/ESO: photometric)|4.6667 (VLT: absorption)|4.7 (Gemini South: absorption)
091208B	09:49:57	378559	14.9	1.74, PL	01:57:34.13	16:53:23.1	1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption)
091127	23:25:45	377179	7.1	2.05, PL	02:26:19.91	-18:57:08.1	0.490 (Gemini-North: emission)|0.49034 (VLT: emission)
091109A	04:57:43	375246	48	1.31, PL	20:37:01.87	-44:09:31.0	3.5 (ESO/MPI: photometric)|3.076 (VLT: absorption)
091029	03:53:22	374210	39.2	1.46, CPL	04:00:42.63	-55:57:19.6	2.752 (Gemini-South: absorption)
091024	08:56:01	373674	109.8	1.20, PL	n/a	n/a	1.092 (Gemini-North)|1.091 (Keck I: absorption)
091020	21:36:44	373458	34.6	1.53, PL	11:42:55.23	50:58:42.5	1.71 (NOT)
091018	20:48:19	373172	4.4	1.77, CPL	02:08:44.57	-57:32:53.4	0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption)
090927	10:07:16	370846	2.2	1.80, PL	22:55:53.44	-70:58:48.9	1.37 (VLT: absorption)
090926B	21:55:48	370791	109.7	0.52, CPL	03:05:13.95	-39:00:21.6	1.24 (VLT: emission & absorption)
090814A	00:52:19	359951	80	1.81, PL	15:58:26.46	25:37:51.6	0.696 < z < 2.2 (VLT: absorption)
090812	06:02:08	359711	66.7	1.24, PL	23:32:48.56	-10:36:17.5	2.452 (VLT: absorption)
090809	17:31:14	359530	5.4	1.34, PL	21:54:43.20	-00:05:01.4	2.737 (VLT)
090726	22:42:27	358422	67.0	2.25, PL	16:34:43.29	72:53:03.1	2.71 (SAO RAS: absoption)
090715B	21:03:14	357512	266	1.57, PL	16:45:21.57	44:50:20.0	3.00 (WHT)
090618	08:28:29	355083	113.2	1.42, CPL	19:35:58.47	78:21:24.4	0.54 (Lick: absorption)|0.54 (SAO RAS: emission)
090530	03:18:18	353567	48	1.61, PL	11:57:40.48	26:35:36.9	~1.266 (VLT)
090529	14:12:35	353540	>100	2.00, PL	14:09:52.56	24:27:32.2	2.625 (VLT: absorption)
090519	21:08:56	352648	64	1.02, PL	09:29:06.98	00:10:48.4	3.9 (ESO/MPI: photometric)|3.85 (VLT: absorption)
090516A	08:27:50	352190	210	1.84, PL	09:13:02.52	-11:51:15.9	4.109 (VLT: absorption)|4.1 (ESO/MPI: photometric)
090510	00:23:00	351588	0.3	0.98, PL	22:14:12.55	-26:34:59.3	0.903 (VLT: emission)
090426	12:48:47	350479	1.2	1.93, PL	12:36:18.07	32:59:08.8	2.609 (Keck-I: absorption)|2.609 (VLT: absorption)
090424	14:12:09	350311	48	1.19, CPL	12:38:05.12	16:50:15.6	0.544 (Gemini-South: absorption)|0.544 (WHT)
090423	07:55:19	350184	10.3	0.80, CPL	09:55:33.26	18:08:57.9	8.0 (MPI/ESO: photometric)|~8.1 (TNG)
090418A	11:07:40	349510	56	1.48, PL	17:57:15.17	33:24:21.3	1.608 (Lick: absorption)
090407	10:28:25	348650	310	1.73, PL	04:35:55.07	-12:40:45.1	1.4485 (TOUGH: emission)
